,W,Reject null hypothesis
cc49c5023531c4351d5e6911528cf7c2,138,False
195ac945e1848eae2fd1679748b96533,138,False
bee3a8a40699867d927ec086b3501336,138,False
af2f6ea96ee82ab6364ffcf67ad84dcd,143,False
522a47e9eb9e3f738ee4f9dafc4aac52,146,False
febfb1dd6e41fa9b7e36989fa227961c,146,False
1868380ab536395f499946cf0e11a7e6,146,False
e95a8d564439edf1ae05704706c6eaea,173,False
19e0bb2b8eeec409116533b068261cc3,130,False
1c0e4bbbe4b9e35ab47d7cb0ed9bc2cb,143,False
f2375f50fed35872157892f72747cb3e,130,False
31475666c6bcfbb69bf392e9bdbe0335,141,False
45751685b2d300d16bb702f953e0e5a5,131,False
fa1d43fc2ca29b094513673a68e66777,132,False
00ab9bd631ca3a99f0ff659dd68515ca,143,False
c8f169122003beb886eebc5fddc11744,147,False
a0b3276589c3fee06f92206eefd53d83,147,False
7e710fff1855cb30fb513e4d6ccef86f,649,True
c638a78482dc8a89f87f63d5f07f4cfb,135,False
6d4ba17bc1fca6849e8724b75806f985,156,False
12d0df0e28d55e74e5b607019e377daa,136,False
db9757397a38f9ff1fd438d8ed238117,137,False
101b0d41bb7dbdf5409bd3fb5fc048f1,137,False
3995e7829b778d46c08a8259c281ffd7,131,False
6394aa3b5c15928ccbf0c94d7b4ce958,133,False
3808ca6976d1489469cfed44d071f866,144,False
6bad5f0f2484248490b4c83c6c96e2c1,207,False
2cca67080dd4614d6f6b3d4916007370,122,False
9e96b0bba7ade31b649af449ef1ac509,191,False
2bff9c99198b292a501b8a1cfea32c51,135,False
d59d8d719f32b85e271fe88daa768322,161,False
c2768d68400999b9333bda3edbad99f9,135,False
ff2f2d6e3bb3af1420c7ea115061521e,152,False
8e174bdad56d6816ac0371f3bf207866,134,False
ec19528bf13b9e6fa32cc2febf028e0b,134,False
ae6cc77a6a2caed8c1940b972a5d1274,139,False
537a3910f0803f854b8c104a67622b35,140,False
ec707b2f8728c9adf2afb9712466ac1d,144,False
78dc976512f8275a07589ef752446e61,148,False
a38c6cc6a3196e5273e0f039929d4546,148,False
e4cb17f0962d3e261f0e939065e5a74c,186,False
b12577649c592feaaa4c1b005598600f,184,False
6b136e42033b9d109790506602a9941b,137,False
26afb8efbdcef0cd500ca16ddfcb877e,125,False
5dd38f0eea6a6543729c5f272bf505c0,132,False
9086b79bd192bb1aeb516d9a7c3d6601,131,False
f9c75120d69a052ae548618c821b791f,184,False
eb612e768623d94aa7642796580db32d,147,False
7f66ececaf0af79f26c4501bf616c44e,150,False
2e2c03d753833dc2d294b5fb0bd94b95,150,False
f4f942449be059bb513fe7284d41331f,150,False
d6017a30236d01b721be405b848578d9,152,False
f93fb9b8e3a5a70d6ff156dd3423a5b3,150,False
4b40686b5ae2582331709511ba57af9e,148,False
43fca2e6a71a0e823dddd8ffa5faf790,139,False
2905a0b674bd794b6348b3eadaae7ec3,138,False
1f6bf2e065826cc7be04f15c2f8130cd,131,False
923201284d797cb415b36316d890c62a,133,False
8b7b8660512b0ea5f368b012c4567205,136,False
21a07a155bd125d1e64553d959f98a18,150,False
95cfad9649a989ed97eaaf0fa426b148,137,False
1636716ff47387947956b2b9302bb7c8,137,False
aa25d95b5248ff24cf02de3a0771b8d7,138,False
136dfe7cb0311b2350dba91f09bdcf49,135,False
c6148de98c01ac65ce4fd91ca8ee242d,164,False
8db1a0cb36a68ed4c46b9825bad0e736,147,False
5a92f14af62010872abe58ba2ed810c9,150,False
3873f16d08fbf36e81e6b5c2503f7dab,150,False
f4ded15fd57bb78aab601da5c4b410a3,150,False
3978168debba30d82b382986ad1dcfc1,150,False
293225b67bf41ecb9c7d5a19632c1978,154,False
8a186724eb53bb0b7c71f7a016404617,152,False
ebfee62112896b9259d08d9becfc1a15,136,False
e1777a492a7aed57bc36a99537b1b19a,164,False
d02df277f68ebd94dd1877d2c2eb9f7a,140,False
c53e6505b8b27353d7198e5f547c1102,164,False
ed83ffd9d61470a38db94acfe7393149,138,False
595c971ecf2347150ac8b1138a2e5fa2,136,False
db86f78b0ad6ce6d25c26ed2ab604027,137,False
769146cf9856ea302c2edc27a8063f30,144,False
0062cb1703222371ca8dba17a77f9c18,178,False
83bb46dbca206d16918bce694901eae6,150,False
fa05871f1c1a14d50f5cd8f091b07c65,150,False
c2df73bc7f4945ed61fe522eff878eac,150,False
71a90e24cf6bf714021d7a032b6d8990,150,False
1522b4481c377d6ed3ea3dc04a4f66db,126,False
0687749bbf24a9f2994e29208495cd58,153,False
c48ecdca55232781fb34640c7989254d,196,False
15f16e9aaa3d99950e805f728b6b3f53,137,False
41d223a96f3f474c88b40d1189cd90a6,140,False
b9cc3a5f8cafd4ffdab434d5c2932a7d,137,False
f745e79eccb68f755a3c2421d32a48fc,137,False
5c87aa4bf8cf151a9c4ce8ddccafab18,150,False
714b6e04d5311e2327462da28831d836,144,False
734e7a82552c14e63e2283036fb50dd5,362,False
9d4ff707e24173610a7c1e1ad80bba41,163,False
d86c837cca53600b65c0293c6e52cc9e,137,False
7c2cdbf3272ce559124cb83c8cdd325a,132,False
4415a64d748a0018388e779b17642d6d,131,False
3064033c8caa5865e38cfe738ad6ecd3,131,False
9709ca509844337d6d7004a6e3257356,135,False
255578f5d3aaea3d0f2c04461d100af5,134,False
2f348d84947624f33dab030c8a9f1ba6,138,False
