,Reject null hypothesis,W
b9cc3a5f8cafd4ffdab434d5c2932a7d,False,51
f745e79eccb68f755a3c2421d32a48fc,False,49
5c87aa4bf8cf151a9c4ce8ddccafab18,False,57
714b6e04d5311e2327462da28831d836,False,46
734e7a82552c14e63e2283036fb50dd5,False,54
9d4ff707e24173610a7c1e1ad80bba41,False,53
d86c837cca53600b65c0293c6e52cc9e,False,51
7c2cdbf3272ce559124cb83c8cdd325a,False,50
4415a64d748a0018388e779b17642d6d,False,51
3064033c8caa5865e38cfe738ad6ecd3,False,51
9709ca509844337d6d7004a6e3257356,False,52
255578f5d3aaea3d0f2c04461d100af5,False,50
2f348d84947624f33dab030c8a9f1ba6,False,49
